,Comment
1173,intel is in trouble
1174,economics 101 increasing the supply of money increases inflation 100 of the time this is horrible news for the stock market an the economy as a whole bi en lost my vote an while i hate trump im no longer sure how ill vote in the next election
1175,this is so regressive fjb
1176,that pie chart is what happens when you flunk your math classes
1177,whoever ma e that chart at 050 shoul be fire
1178,something clearly wrong on that pie chart
1179,that has to be the worst representation in a graph ever public
1180,the two major nuclear isasters happene because of 1 incompetence chernobyl an 2 natural isaster fukushima as a british citizen i woul say that on the most part we are very capable of preventing those two things we ve waste 30 years of nuclear un erstan ing an fine tuning in my opinion let s get those plants running baby
1181,i think anyone who has spent time working in a mo ern agile corporate environment coul tell you the crux of the problem in an instant we no longer plan past the next quarter supply chain bottleneck is just another way of saying that we let the beancounters run the show an they were goo at it right until something happene which they coul neither mo el nor pre ict cerveza the system is brittle by esign because its so much cheaper that way nuclear energy runs counter to this business ethos its a huge engineering lift it takes 20 years to pay itself off you nee a traine workforce with omestic pro uction an fabrication capacity that can forge the parts machine them wel them then certify an maintain them over a perio of 40 years instea weve been gleefully shutting profitable factories at home gutting workforces funneling everyone into college resulting in massive brain rain skill loss as the ol timers machinists retire but hey we elivere a lot of value for sharehol ers an now the chickens are coming home to roost
1182,excellent vi eo marko things look really ba for now just recently it was reporte that germans among many others probably alrea y spen their savings to fight inflation instea of having their salaries rise to cover it i ont want to imagine what will happen in the winter when the energy bills will really increase or when those savings run out
1183,hi marko im living in the germany not born though an have been following your po cast because you o goo analysis honestly as a european i feel quite isappointe by everything i un erstan why the a ministration eci e not to invest in nuclear energy after fukushima acci ent but on the other han i cannot un erstan how they i nt invest in other resources or shoul i say how the europe especially germany i nt iversify when it comes to energy suppliers its like you sai they just ignore that fact even though we alrea y ha a couple of years ago possible no elivery situation with russia
1184,bi ens recession is out of control
1185,hahahahahaha talking about mi le class americans like she knows a single thing about it
1186,elete all the thumbs own
1187,sai a whole lot of nothing as always
1188,can t tell if this chick is 25 or 35
1189,inflations getting crazy i m gonna have to start cutting own on things like making payments soon
1190,things are going to get a lot worse i can t see a way out of this your liberal government is more concerne with ukraine they haven t one anything to help you a cana ian keep voting the same way an get the same results
1191,im concerne about the fe eral government sen ing workers to sneak into saskatchewan an trespass on private property then theres the sen ing mps to taiwan to stir the war pot also i anyone else notice the very enthusiastic greeting eputy tweak gave the german chancellor she know hes probably only here to have a hot shower
1192,as inflation soars an the economy slows be sure to thank your local liberal member of parliament or your local n p member of parliament because inflation is the irect result of liberal fe eral government monetary policy with such policies shamelessly supporte by the n p
1193,an this is the problem with voting an hiring on the basis of iversity
1194,lol government give corporations that are making recor profits more money for cana ians chil care is the fix for inflation give me a break governments are there to screw the small guy get another job step off
1195,the price of groceries has ouble rents have skyrockete everything has increase except income
1196,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc with 21 btcfrom ay tra ng with jacob carlson insights an chartshis been one step ahea of other analysis you can reach mr jacob carlson on ͳeiєɠɾαmjacobcarlson10
1197,i remin er everyone that if they want to merge o it with your own wallet o not use others in the en everyone can loss everything because its not their wallet
1198,yea it sucke to watch my portfolio tank in real time but i also knew that while stocks lose 36 on average in bear markets they gain 114 in bull markets so i ignore the news kept buying more in ex fun s an waite millionaire in 2025 talking about investing in 2022
1199,most times it amazes me greatly the way i move from an average lifestyle to earning over 63k per month utter shock is the wor i have un erstoo a lot in the past few years to oubt that opportunities aboun in the financial markets the only thing is to know where to focus
1200,i am new to the stock market every stock that i bought so far i was out of luck because i bought them when they were expensive i feel i misse out on all the stock opportunities so far for the tech stocksi believe having 75k yearly income woul be a goo investment so i want to plug all my savings into the stock market i know this soun s a bit ull but i woul like to know if i shoul learn investing or let somebo y else more capable like a fa o it for me please share your thoughts i am kin of tire of searching for a goo stock to buy an losing all the goo opportunities
1201,yahoo going into over rive trash talking ryan i can smell that they are scare
1202,with the way things are moving i think i nee to see a vi eo on how to survive ami st the present recession i mean everything is in shambles surprisingly i hear people still make over 100k within a few months an i like to know how an if it is still possible in these times or if i am being lazy
1203,the sa thing about inflation is that even when you get it un er control the amage is one an those prices never go back own the market won t crash until after the mi terms i m putting all of my profits into silver gol bitcoin ethereum an foo
1204,but i thought that we i nt have enough houses i thought eman was so high the money money money woul keep coming
1205,my opinion epen ing on location an what happens with all the foreclosure notices that are starting to pop up it is either hea ing into a correction or possibly a crash ef not easy to pre ict
1206,that was a mic rop moment right there heck yea transitory soun s like forwar gui ance to me income inequality is also a huge problem our government nee s to o something about but lacks the will to o so now the entire economy will suffer because of not taking care of our less a vantage in society
1207,we are alrea y in the big crash inflation is a catastrophe this cpi report is a colossal failure to bring the housing market to a halt the fe will have to pull all the stops the unfortunate issue is that other markets are being ecimate if you want to stay green you have to rely on a lot of iversification currently up 14 an being careful still a better eal than leaving it in a savings or checking account yiel ing 01 percent interest
1208,eerian on tv again telling you another fe mistakes an economic oom
1209,n tv presenters shoul research schemes all over the worl before ebating with ptr sirwhich are calle peoples welfare schemes not freebies my son gets free e ucation in the uk schools though we are expats inclu ing mealsuk government oes not call it freebiesthe me ia shoul question the bank loan waiversgiven to corporatesnot peoples welfare schemes of course n tv will not ebate since they are also fun e by corporatesthe anchor tries to talk about television istribution by mk it was a huge reform to uplift people from lowincome strata an brought changesmaybe anchor when she was young i not watch tv from neighbors win ow who are richthere are numerous positives uring covi the tn state e ucation ministry ran special channels for the stu ents for online classes on the subjects in schoolsan poor chil ren who i not have smartphone benefitte an the only rawback from this television freebie was people saw nonstop news channels like n tv an believe in ia against corruption movement an the circusan vote out congress an mkin 2014
1210,i ont un erstan why is it calle freebie when its our right for e ucation water an basic nee s we pay taxes like anything
1211,the u es no when he was tol to iversify his bon s is what kille me b
1212,how is this uncensore but still censore
1213,nowa ays we all know cash rules everything aroun us that hits a little har er than it shoul have
1214,sohe thinks buying stocks now is smart i feel sorry for anyone buying stocks right now
1215,there never shoul have been quantitative easing perio
1216,eggs were the last form of inexpensive protein available at the grocery government incompetence an in ifference is literally taking foo off your familys table at this point
1217,bi en took my eggs away
1218,on t waste your money the seats are not what they use to be they are junk plain yellow eggs i not orange like they use to be before o not buy these eggs
1219,i he even once speak about cast politics or any other garbage he is throwing pure facts an they are speechless
1220,rahul is so use to ebate with umb north in ian politicians he lost the whole plot mr thiagarajan naile it
1221,i can hear the we want ratcliffe chant as a unite fan a selfma e working class roots billionaire who live 8 miles from ol traffor supporting unite being a unite owner you coul nt write the script its unbelievable
1222,if mu fans really want the glazes out you have to hurt them where they care the most money boycott the club commercial sell an their sponsors lower their tv broa cast viewssta ium atten ancesocial me ia activity ratings etc all these together will brought own the valuation of the club really weaken the glazess position an help potential buyers protest along is meaningless before that i oubt anything will happen
1223,this puts things to be imo however the fact that ratcliffe openly ma e this statement may prompt them into a potential sale after all sponsors an partners are starting to have col feet an that woul efinitely push them out especially if as expecte our season goes pear shape
1224,im 54 an my wife an i are very worrie about our future gas an foo prices rising aily we have ha our savings win le with the cost of living into the stratosphere an we are fin ing it impossible to replace them we can get by but cant seem to get ahea my con olences to anyone retiring in this crisis 30 years nonstop just for a crooke system to take all you worke for
1225,there is a perfect storm brewing in america inflation sever rought in the farm belt the pan emic foo shortages iesel fuel an heating fuel shortages baby formula shortage shortage of an price of available cars the price of housing its all coming together an coul lea to real isaster towar the en of this yearor sooner
1226,we are alrea y in the big crash inflation is a catastrophe this cpi report is a colossal failure to bring the housing market to a halt the fe will have to pull all the stops the unfortunate issue is that other markets are being ecimate if you want to stay green you have to rely on a lot of iversification currently up 14 an being careful still a better eal than leaving it in a savings or checking account yiel ing 01 percent interest
1227,in the aftermath of the recent asian financial crisis many blame international institutions corruption governments an flawe macro an microeconomic policies not only for causing the crisis but also unnecessarily lengthening an eepening it at the turn of this century most economists in the evelope worl believe that major economic isasters were a thing of the past or at least relegate to volatile emerging markets financial systems in rich countries the thinking went were too sophisticate to simply collapse
1228,u e thinks wage increases are the cause of inflation when it has been massively un er inflation an people are being paye less value year after year since the 70s they mass printe haulte pro uction an services fille their balance sheets an took on massive amounts of ebt wage increases are a result of ilution not the cause
1229,if inflation stay at current level soon or later the bon market will collapse then following will be the collapse of stock market there is no other option but to keep tightening money supply until inflation back to sustainable level this is the effect of 20 years of horrific monetary policy qe too much stimulus the fe a e 25 trillions of ebt to it balance sheet since 2000 an all the plans to re uce it eficit have faile an in the contrary they continue to increase the eficit each year they can blame the ukraine war or covi that cause inflation but the reality is just poor monetary policy ma e by the central government over eca es the only question left is how much tightening they can o without causing a har recession in an alrea y vulnerable economy
1230,economys fine no cause for concern just like in 1980 1990 2001 2007 2020 right the problem is the economy is a mess because the money supply an fiscal policy is too loose but the economy is now epen ent on a loose money supply an loose fiscal policy just to function so no matter what you o 1 nothing 2tighten or 3 loosen the economy suffers
1231,having money oesn t necessarily make you happy but not having money will make you miserable
1232,too many people spen money they havent earne to buy things they ont want to impress people that they ont like will rogers
1233,such a shameless bjp cant even answer the question aske an blabbering something else
1234,bjp nee s to be e ucate in almost everything by tn that is the current status full stop
1235,you all ha months to get out of celas soon as i hear the fe was looking at them i pulle out 100
1236,george stop thinking btc an crypto is going to go up its not the macro economics are getting even worse we wont see anything big until the fe pivots an the btc halving gets closer
1237,funny enough the argument that bitboys business is a vice is incre ibly angerous for him coming from someone who is actually registere to give financial a vice there is a lot of regulation aroun who can give financial a vice an what you can say if thats your business nee less to say bitboy has probably violate a few rules on that front normally youtubers are protecte from liability because their business youtube technically isnt a vicebase a mitting your business is a vicebase though might open you up to liability im not a lawyer but i know a bit about the legality of financial a vice happy to touch base if it woul help
1238,this is terrible gla you re going to fight back an i really hope that you get the result that you eserve if he ha n t hurt his bran before this alone is going to amage it completely now an it ll be his own fault entirely
1239,imagine being a scammer an get hurt because someone points it out were with you you will win this
1240,the elivery was efinitely illegal an unprofessional we all love you atozy we all truly hope you win you have much evi ence going for you this irt bag shoul n t win
1241,u e bol of him to say he now suffers from emotional istress when he himself cause you to vomit out of stress this whole or eal must be a nightmare my heat goes out to you bu y an i wish you the best of luck
1242,i ont often spen money for a youtuber as i ont have much but i will onate this time its absolutely ri iculous you are getting sue for voicing your opinions you eserve to be able to efen yourself
1243,jesus thats fucking shameful bitboy this is intimi ation plain an simple im happy youre stan ing up for yourself like this atozy stay positive
1244,this fits the efinition of a slapp suit strategic lawsuits against public participation or strategic litigation against public participation are lawsuits inten e to censor intimi ate an silence critics by bur ening them with the cost of a legal efense until they aban on their criticism or opposition
1245,hey erling paralegal here i saw the en of your vi eo but woul still recommen getting an attorney to help with han ling this suit lawsuits are not fun in any way unless your the attorneyfirm an they cause an unimaginable amount of stress my parents were victim of a certain suit an it really followe them everywhere an lingere in the back of their min s always moreover if the other si e has an attorney they have the a vantage of knowing how the system works such as what nee s to be exchange uring the iscovery phase rule 26a islcosures interrogatories evi ence you inten to use at trial epositions of plaintiffs efen ants an expert witnesses etc an when to make appearances for compliance meetings with the ju ge i truly a mire your resolve to stan your groun an efen yourself just be careful with how you procee pay attention to ea lines an what nee s to be one also remember its a legal system an not a justice system this is not legal a vice just a concerne fan lawyers or other legal professionals please correct anything i may have overlooke unintentionally misconstrue ps i think the service the guy who threw the papers at you ru ely was fine unfortunately you i entifie yourself once that happens they can just leave it at your oorstep
1246,scammersbots are getting much worse they are using my name an logo in comments to trick you o not ever sen money to someone from the comments or ms be careful
1247,why shoul we choose between gol stan ar or bitcoin stan ar i want to have it all at once gol bitcoin silver if we are squeeze in one stan ar the risk to be game is infinite high
1248,bitcoin is only urable if there is electricity an network connections in times of crisis an in many places aroun the worl these things are unreliable also if keys are lost the bitcoins associate with them are gone forever
1249,yeah this is so insane the lawsuit is super laughable lmao
1250,the efamation suit ma e his image worse lmao ha no i ea who he was till the lawsuit an now all i o is laugh at the man chil
1251,some people are just too sue happy hurt feelings from people stating opinions ont count bro he efinitely steppe wrong on this because now someone like me who has zero interest in crypto because of excessive cynicism knows about him an knows to steer clear he i this not atozy or coffeezilla he put his reputation on the line instea of ignoring it an letting it roll off his back
1252,he always sues everyone hes a well known scammer who gets pai to promote crypto scams hes got a reputation
1253,can t wait seeing him un er oath aske how much money he s taken to promote scams he s igging his own grave on this one
1254,guuuyssss the official binance ex has a bug it exchanges the bitcoinethereum pair for 10x i ma e vi eo
1255,they will absolutely be printing money for the stu ent loan relief lol you on t think the banks an e ucation systems want their promise loane money yea right you think they re just gonna take the hit on this yikes poor take on that tbh
1256,most stu ent loans are much higher than 10000 they simply want the ebt slaves to continue paying no payments oes not mean no interest interest is still accumulating free
1257,bit coin is a ponzie scam
1258,crypto are finishe only the early investors benefit o not expect a bull market
1259,correct me if i am wrong oge chain has nothing to o with oge coin right why woul anyone buy oge knowing that also emas are like most tools in ta lagging in icators they only exist after moves are ma e
1260,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc from ay tra ng with wtra e inspects insights an charts they been one step ahea of other analysis
1261,thank you for your vi eos mateits normal to see so many investors panic ami a worsening bearish market but it is also important to note that the market situation is nothing new in the crypto worl several factors are riving negative sentiment in the stock an crypto markets right now inclu ing inflation a shaky stock market rising interest rates an recession fears as a result bitcoin has roppe significantly from its alltime high breaking below several key technical levels as a crypto investor the current situation might seem bleak however there are several trie an teste expertsuggeste investment strategies that can help you accumulate the current crypto storm in few weeks of implementing tra ing with accurate signals irectly from mr ryan onal i have been able to accumulate over 11 btc espite the current state of the market
1262,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc from ay tra ng with wtra e inspects insights an charts they been one step ahea of other analysis
1263,quickest way to lose money is to follow these guys how is aioz oing after the tweet that sai buy this this is financial a vice
1264,hi ran like your show but no single person amongst your viewers is able to get into see roun whats the point
1265,i have always wante to go into the financial markets but i get confuse by the fluctuations in price
1266,question was tom emmer an activer user of torna o cash why woul he get involve in this issue rea between the lines folks something is smelly here
1267,i live in the netherlan s europe an got news for you we are alrea y in an energy crisis gas price has gone 12x at the moment compare to prices pre covi that translates in 4x the price if you nee a nrw energy contract so people here pay easy 600 a month instea of 150 euro but in 2023 prices are expecte 800 to 1000 euros a month that means an insane recession you think the bearmarket is almost over think againit only just starte
1268,in my younger years i gui e flyfishing in alaska when looking out the win ow of the float plane sometimes i see pon s that almost looke like they were boiling it was natural gas coming up through the permafrost the arctic regions of europe have these same stores of natural gas they nee to utilize as a measure of self sufficiency energy in epen ent an security the i ea they haven t thought of this is crazy to rely on countries that harbor governments that brutalize their own citizens is not goo business i you turn your back on the bully at school smiling an being nice is one thing but being in be with evil is another
1269,great vi eo europe shoul also expect an extreme winter much like the extreme summer they have just experience so the stores will efinitely not be enough
1270,spare change investible assets will be vastly curtaile stores of value will be tappe to pay for increase prices
1271,one kin of perverse thing is that china has been using way less oil ue to the real estateeconomic crisis so if we i nt have one crisis we have potentially an even worse one w oil prices p yaaaay 2022
1272,bybit 4000 bonus global binance 600 bonus nonusa mexc 4000 bonus usaglobal moneyzg crypto course scammers are in the comments i will never contact you
1273,banks hate crypto because people prefer to have us t in their wallet instea of us in a bank account
1274,the reason the eu is so low has to o with the fact that countries in the eu such as italy spain portugal an cyprus since they still have large ebts with the european bank can therefore not raise interest rates the countries can not repay their ebt properly so that the ebt becomes higher unfortunately these countries are still not oing anything in their country to ensure that their internal economies run better
1275,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc from ay tra ng with wtra e inspects insights an charts they been one step ahea of other analysis
1276,he sai i an is sha y an he got calle out i love when i iots think they can no be hel to the same bs stan ar s
1277,crypto makes being a thief a piece of cake no government oversight you pump up the numbers on your wallet the value goes up up people think they will make a profit so they invest their cash months later the price rops the cash has alrea y been transferre to an offshore account so long suckers
1278,hopefully bitboys next lawsuit isn t a civil one it s heavily bor ering scamming an he s been the sole face of promotion coul easily book him for ai ing an co conscripting if they buil up enough evi ence
1279,ben is this show kin of rough watching this stuff ay in an ay out
1280,har to listen to someone that talks about we might have a recession coming when we are in a recession you lost me
1281,weve alrea y been through market hell lol at this point nothing can surprise me or get me emotional eth can rop to 400 an btc to 14000 or less an i woul nt even care anymore honestly over it at this point ont have chips to buy the ip unfortunately but i sure as hell aint selling any till im sitting pretty
1282,the polygon token has lost its utility since it will no longer be use for gas fees can you tell us why youre still buliish on it
1283,eth will be a ump on everyone it s alrea y price it once it climbs they will cash out then repeat
1284,will it make me poor probably probably
1285,the time to kill of flatline is insane
1286,i feel like crypto is overpowere but takes time to master because of the amount of vulnerability he has
1287,guys pls if u saw rone try to estroy it it felt like they still got no i ea how the rone works an let it stay still above em anyway why oes his passive still scan through rhapso y ult
1288,i think why binance is killing it is that they are currently charging no fees for btc tra ing
1289,bonuses are rewar s for goo work if a company went bankrupt that is not a goo job
1290,bonuses for failing companies is super common this oesnt make the practice of giving huge bonuses off the back of their cre itors right its just weir that its in the news now because theyve been oing this for eca es
1291,i ve been trying to go active on ftx us for the past four months each time i try to reach out to support i go through all the hoops to put in etaile information of what my problem is an i get the same canne response that oes not a ress my issue it s a shame i plan on using them but if they can t get me set up i can t use them to successful i guess to really care about solving something as important as i m boar ing a new customer
1292,from what i have seen the majority of people are expecting another ump of btc the only reason i think it wont when in oubt the majority is wrong
1293,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc from ay tra ng with wtra e inspects insights an charts they been one step ahea of other analysis
1294,bybit 4000 bonus global binance 600 bonus nonusa mexc 4000 bonus usaglobal moneyzg crypto course scammers are in the comments i will never contact you
1295,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc from ay tra ng with kerry pickett insights an chartshis been one step ahea of other analysis
1296,i have attracte so much losses tra ing on my owni tra e well on emo but i think the real market is manipulate can anyone help me out or at least tell me what im oing wrong
1297,honestly i appreciate you an your content technical analysis is goo but i fin it truly baffling that major crypto youtubers just look mostly at pure ta an completely ignore the bigger narrative of why btc is pumpspumpe an why the future outlook will be even rosier than it seems its kin a irresponsible to ignore the fact that each etf launch so far has cause a major ump at the peaks of btc we were alrea y on shaky footing with historically low volume an almost pure whale pumpsnarrowly avoi ing a longterm bear market more emphasis shoul be put into ay tra iing as it is less affecte by the unpre ictable nature of the market i have ma e over 12 btc from ay tra ng with wtra e inspects insights an charts they been one step ahea of other analysis
1298,no soun au io issue
1299,when you sen the rubik s impossible in a ifferent angle that oesn t look solve
1300,in my opinion 3x3 blin fol e is the har est because you nee to remember all the move an the scramble an you cant see it when you are solving
1301,the har est i can o is the 1x1
1302,first ive been questioning myself how oes jperm know all those names secon how is he this rich
1303,3417 o you see it the big e ge pieces which everything turns aroun are actually the centers the cloverleaves are actually the e ges an for the corners half of them look like centers an the other half are actually hi en insi e the puzzle this means you actually have to look on the insi e of the puzzle to see if those pieces are there an that just makes it really har
1304,this is insane respect
1305,like this comment if you think i have a career in opera please ont e it everyone complaining about the 14 16 an 18 see the vi eo escription
1306,i own a 0x0 super har to solve it keeps slipping through the atoms of my han
1307,440 cubers be like wtf how is 1 han inpressive he can t even o it in 30 secon s
1308,on the thumbnail a 30x30 rubik s cube woul just completely fall apart if you turn it without increasing the size of the outer layers
1309,427 being a spee cuber watching him say how o you even o that one han e hurts me insi e e it everything about this vi eo hurts me insi e
1310,1 wrong move an its all gone
1311,ahhh the life of a scammer
1312,i personally woul switch the places of the metal an the smallest i lose things easily especially that tiny cube
1313,you cant use the timer on a black surface as black oesnt reflect infrare light try using it on a white table
1314,sees white me you liar
1315,him calls a gan cube a regular cube me wait thats illegal
1316,i really appreciate you covering the colorblin aspect i have to have grey instea of green an black instea of orange on my cubes because of my color eficiency an it means significantly less choice in cubes its very frustraiting
1317,for me whether or not the cube is stickere actually matters a lot i have always use a stickerless cube an when i got a stickere cube i notice that i was a lot worse at look ahea i ma e more mistakes in f2l an took longer to look
1318,i have always use stickerless cubes from when i learne all through now one ay a frien an i swappe cubes to see how our times got affecte by using each other cubes i like my cubes fast he likes them slower his main was a stickere cube not only was i turning ba because the cube was slower then i was use to but the stickers felt so weir i just cant use stickere cubes because of the e ge on the sticker
1319,i prefer stickere on 3x3 because i love the look any bigger cubes the amount of stickers just makes it not worth it to me to many that can get amage an replacing stickers gets exponentially more annoying i woul probably feel ifferently if the stickers from spee cubeshop werent as goo as they are so i woul still take a stickere 3x3 over a stickerless given the option
1320,ayum what a game breaking upe i hope the evelopers patch this soon
1321,teacher nothing is infinite the cube you are efy me mortal
1322,ue to this glitch we have isable cubes
1323,i feel like every time he mixes up a har puzzle an oesn t solve it i come a bit closer to ying
1324,i have the spherical one my frien ara hay pronounce ara yu has a pyraminx the re iminx seems easy but its actually har the moyu puppet cubes are so weir
1325,it was har enough for me to solve the normal axis cube i can t imagine oing the 4x4
1326,i was solving it whole night with your trick an finally it i nt solve
1327,tingman really just estroye the internals of 170 of cubes for this one vi eo thats e ication
1328,i trie it with an alrea y jumble cube no it i nt workeven it got messe up even more lol an i i absolutely as instructe
1329,i really ont know how people can solve it an rea the cube so fast with just colors
1330,alternate title never let a non cuber touch your expensive cubes ever again
1331,i like how this man can solve this amn cube in 13 secon s when it s been 13 years since my last cube i still can t even solve it
1332,yeah yeah the time an the cubes are very ifferent but the one thing everyone neglects is the price
1333,the e ication that he ha to not use one of those poles as a lightsaber an start breaking stuff is insane
1334,the fact that people can even o 3x3 cubes is beyon me but watching this guy i a 15x15 an in only 2 an a half hours blew my min on another level
1335,this guy is insane i can t even solve a 3x3 in 5 hours
1336,i was at a trampoline park an after i was one jumping i eci e to play some arca e games i won 500 tickets from one game an got my first rubiks cube from there it was really ba at maneuvering an woul cause so much friction so i eci e to try an move it really fast back an forth an it literally blew into pieces in the mi le of the parking lot an scattere everywhere mi ay with spectators aroun safe to say i coul never get it back together i en e up buying several spee cubes an i m able to solve all of them
1337,he puts the cube in the strange shape me being annoye that he put orange to re
1338,this is 3 cubes procee s to make 4 shape in the multiverse from one single fucking 3 cube
1339,i just realize that is impossible because the pieces have ifferent colors on them except for the mi le piece
1340,me procee s to turn one si e of a completely re cube brain turn it back me what s the worse that will happen cube turns into a scramble 40x40 brain tol you so
1341,me trying in win ow just like him 1 st time my balance goes cube rip
1342,the guy got 2500x on 8 an i nt even bat an eye li when it happene an yet people think this is real cmon
1343,omg that was so close to max
1344,when you play it looks so easy when i play it looks like shit
1345,even though you shoul be enjoying the game i n t let you by leaving 2 cubes behin
1346,normal people to ay ill be showing you how to use a cube stan timmy this is how you can not use a cube stan
1347,a wise man once sai now thats a lot of amage
1348,i recently got myself the impossible cube that you showe at the en there regular rubiks bran an it both poppe an ha stickers fall off right out of the box i believe they either ont give a shit because theyre still the largest or theyre incompetent
1349,i have a rubiks cube thats almost 20 years ol i got into cubing recently an bought a meilong as soon as i got some isposable pennies i always assume that it turns this horrible at least in part because of its age but seeing how your bran new cube turns exactly like mine now i wish i coul get my han s on a new one just to see if there is any ifference
1350,the og rubiks cube was set up to be basically temperamental chil proof like you emonstrate you can throw it at a wall an the wall will lose that battle but its also super unlikely to pop or cornertwist uring normal use noncubers often consi er a cube broken if its poppe or cornertwiste i remember having to rescue an expensive spee cube from the trash can because my cousin cornertwiste it that comes at the expense of having almost no cornercutting ability an having a lot of friction making it har to turn but then again its not meant to be their spee cube the rubiks bran spee cube is still kin a terrible though but for ifferent reasons
1351,me can i get some ice with that jeanelle sorry our ice machine broke
1352,too lazy to make ice cubes bro you pour water in a tray an leave it in a freezer that s apl
1353,me after trying metal icewhy oes my water test like metal
1354,just a tiny minus you cant chew on the ice
1355,the one fear i have with these things is acci entally swallowing them its easy to forget theyre not really ice cubes i use a straw with these 100 of the time
1356,i remember going to a frien s house an seeing these but the plastic version an i thought they were real so i was there trying to bite through their plastic ice cubes while my frien just stare in shock
1357,how to solve the rubiks cube faster please rea this before commenting i try to reply often but i ont get step x or it oesnt work is too unspecific an i cant help unless i know exactly what problem you have make sure you know the 4 moves 152 has the 4 moves an you have to be able to o this to un erstan what 4 moves means when i use it again later on common first layer problems step 1 2 if the si e colors of the cross or first layer ont line up the way i showe it in the vi eo then you nee to re o it pay attention to all of the colors on one piece an ont just pick white pieces ran omly i talk about this in the vi eo how im trying to match the other colors of the white piece like whiteorange etc taking pieces out of the secon layer step 3 at 533 i say you shoul alrea y know how to o this i a mit this is unclear you shoul insert a ran om yellow e ge into the secon layer using the same algorithm you use for solving the secon layer if this oes not make sense watch the example solve vi eo linke at the bottom of this comment common top layer problems step 4 if you can only get 1 or 3 e ge pieces of the top cross you nee to reassemble the cube as solve step 5 there shoul be no problems here step 6 if you ever get only 2 corners in the correct location you nee to reassemble the cube as solve step 7 finish the 4 moves ont stop at 3 every time turn the bottom ont rotate the whole cube to get the next piece if it still oes not work you nee to reassemble the cube as solve why o i nee to reassemble the cube ran omly assembling the cube only has a 112 chance of being solvable if youve ever taken the cube apart or twiste corner pieces then that can be the problem if stickers have been switche you will have to switch them back full example solve
1358,nothing hurts more than being on the last step an then messing up the algorithm
1359,question is why woul someone want to hi e their rubiks cube that esperately
1360,this stuff never fails to confuse the heck out of me
1361,which of these angry contestants got simon cowell to snap watch here
1362,as a competitive cuber i can see how he oes some of his tricks but still a ton of them are just insane
1363,kevin i will give you 400k for 15 barbara i will give you 400k for 10 kevin that is so gree y
1364,lol just a ay ago you say the rossolimo is a ba opening an the best chess engine plays it goes to show how ba you are at chess an how enormous the ifference is
1365,stockfish crushes itself then analyzes its mistakes what a gigacha
1366,i think they are upset from magnus because he is not efen ing his worl championship title because of which they will suffer revenue losses less people will see ing vs nepo compare to magnus vs nepo less a s less sponsorship less online viewership etc
1367,fair criticisms on both si es however online chess playe while 6ft away from your opponent is just ri iculous
